Name;Kategorie;Dichte;Bezugseinheit;Energie, Kilojoule;Energie, Kalorien;Fett, total (g);Fettsäuren, gesättigt (g);Fettsäuren, einfach ungesättigt (g);Fettsäuren, mehrfach ungesättigt (g);Cholesterin (mg);Kohlenhydrate, verfügbar (g);Zucker (g);Stärke (g);Nahrungsfasern (g);Protein (g);Salz (NaCl) (g);Alkohol (g);Wasser (g);Vitamin A-Aktivität, RE (µg-RE);Vitamin A-Aktivität, RAE (µg-RE);All-trans Retinol-Äquivalente (µg-RE);Betacarotin-Aktivität (µg-BCE);Betacarotin (µg);Vitamin B1 (Thiamin) (mg);Vitamin B2 (Riboflavin) (mg);Vitamin B6 (Pyridoxin) (mg);Vitamin B12 (Cobalamin) (µg);Niacin (mg);Folat (µg);Pantothensäure (mg);Vitamin C (Ascorbinsäure) (mg);Vitamin D (Calciferol) (µg);Vitamin E-Aktivität (mg-ATE);Kalium (K) (mg);Natrium (Na) (mg);Chlorid (Cl) (mg);Calcium (Ca) (mg);Magnesium (Mg) (mg);Phosphor (P) (mg);Eisen (Fe) (mg);Jod (I) (µg);Zink (Zn)  (mg);Selen (Se) (µg)
Gehacktes (Durchschnitt aus Rind, Kalb, Schwein, Poulet), roh, ;Fleisch und Innereien/Kalb,Fleisch und Innereien/Rind,Fleisch und Innereien/Schwein,Fleisch und Innereien/Geflügel;;pro 100g ;599;143;6,2;2,4;3;0,6;62;0;0;0;0;21,6;0,1;0;72,1;5;4;4;3;3;0,47;0,15;0,49;1,01;6,12;7,3;0,7;0;1;0,36;330;48;61;4,2;20;190;1,1;1,5;2,6;-
Gemüse (Durchschnitt), roh, ;Gemüse/Gemüse frisch;;pro 100g ;111;26;0,3;0;0;0,1;0;3,7;3,5;0,2;2;1,3;0;0;92,7;276;138;0;1656;1414;0,05;0,05;0,11;0;0,56;41,9;0,3;30,3;0;0,8;230;15;41;27;13;30;0,4;2,6;0,2;-
Gemüsegratin, gebacken, ;Gerichte/Kuchen und Gratins;;pro 100g ;238;57;3,6;2;0,8;0,2;9;2,3;1,6;0,8;1,9;3;0,3;0;89,2;43;38;33;57;22;0,06;0,05;0,07;0,07;0,82;39,7;0,29;28,9;0,1;1,84;310;110;150;90;21;71;0,4;4,1;0,4;-
Gemüselasagne, zubereitet, ;Gerichte/Italienische Gerichte;;pro 100g ;561;134;7,4;4,1;1,9;0,5;20;11,7;2,5;9,1;1,1;4,8;1,2;0;75,1;99;83;67;189;155;0,02;0,09;0,06;0,12;0,37;6,2;0,18;7,9;0,1;0,47;140;470;760;120;14;94;0,3;5,7;0,5;-
Gerstenflocken, ;Brote, Flocken und Frühstückscerealien/Flocken, Kleie und Keime;;pro 100g ;1410;333;1,5;0,3;0,1;0,7;0;66,1;2,2;63,6;10,3;8,5;0;0;12,4;0;0;0;0;0;0,2;0,08;0,29;0;3,1;19;0,49;0;0;0,25;160;3;20;16;66;190;2;1;1,3;-
Gerstotto, gekocht, ;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Sonstige Getreideprodukte;;pro 100g ;579;137;2,2;0,3;1,3;0,3;0;24,8;1,7;23;1,8;3,7;0,8;0;67,8;0;0;0;2;1;0,05;0,02;0,06;0;0,81;5,2;0,06;0,4;0;0,43;57;340;540;13;23;71;1;0,7;0,7;-
Geschnetzeltes (Durchschnitt aus Rind, Kalb, Schwein, Geflügel), gebraten (ohne Zusatz von Fett und Salz), ;Fleisch und Innereien;;pro 100g ;683;162;4,6;1,4;1,9;0,6;81;0,1;0;0;0;30,1;0,2;0;65,2;6;6;5;3;3;0,33;0,18;0,49;0,89;6,75;4,9;0,94;0;0,7;0,36;370;62;83;8,6;26;230;1;1,9;3;13
Geschnetzeltes (Durchschnitt aus Rind, Kalb, Schwein, Geflügel), roh, ;Fleisch und Innereien/Kalb,Fleisch und Innereien/Schwein,Fleisch und Innereien/Rind,Fleisch und Innereien/Geflügel;;pro 100g ;498;118;3,3;1;1,4;0,4;59;0,1;0;0;0;22;0,1;0;74,6;4;4;4;3;3;0,35;0,14;0,54;0,85;6,01;4,7;0,83;0;0,6;0,31;340;53;60;6,4;22;200;0,8;1,4;2,3;-
Getreideflocken (Durchschnitt), ;Brote, Flocken und Frühstückscerealien/Flocken, Kleie und Keime;;pro 100g ;1470;348;3,2;0,6;0,9;1,4;0;64;1,5;62;9,7;10,8;0;0;12,9;1;0;0;4;4;0,32;0,1;0,27;0;2,78;38,4;0,71;0;0;0,55;250;7,4;34;26;94;280;3,6;2,3;2,2;-
Gipfeli (Durchschnitt), ;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;;pro 100g ;1700;408;23;13,4;5,4;1,4;71;40,5;2,3;37,9;2,9;8,3;2,1;0;25,9;215;208;201;81;71;0,12;0,1;0,09;0,08;0,7;21,4;0,35;0,1;0,4;0,57;160;850;1320;34;20;99;0,8;36;0,8;-
