Name;Kategorie;Dichte;Bezugseinheit;Energie, Kilojoule;Energie, Kalorien;Fett, total (g);Fettsäuren, gesättigt (g);Fettsäuren, einfach ungesättigt (g);Fettsäuren, mehrfach ungesättigt (g);Cholesterin (mg);Kohlenhydrate, verfügbar (g);Zucker (g);Stärke (g);Nahrungsfasern (g);Protein (g);Salz (NaCl) (g);Alkohol (g);Wasser (g);Vitamin A-Aktivität, RE (µg-RE);Vitamin A-Aktivität, RAE (µg-RE);All-trans Retinol-Äquivalente (µg-RE);Betacarotin-Aktivität (µg-BCE);Betacarotin (µg);Vitamin B1 (Thiamin) (mg);Vitamin B2 (Riboflavin) (mg);Vitamin B6 (Pyridoxin) (mg);Vitamin B12 (Cobalamin) (µg);Niacin (mg);Folat (µg);Pantothensäure (mg);Vitamin C (Ascorbinsäure) (mg);Vitamin D (Calciferol) (µg);Vitamin E-Aktivität (mg-ATE);Kalium (K) (mg);Natrium (Na) (mg);Chlorid (Cl) (mg);Calcium (Ca) (mg);Magnesium (Mg) (mg);Phosphor (P) (mg);Eisen (Fe) (mg);Jod (I) (µg);Zink (Zn)  (mg);Selen (Se) (µg)
Luganighe, ;Fleisch- und Wurstwaren/Rohwurstware;;pro 100g ;1940;468;43,9;16,3;20,7;4,5;67;0,5;0,5;0;0;17,4;2,5;0,2;38;6;6;6;2;2;0,51;0,19;0,28;2,12;4,33;1,9;0,47;59,5;0;0,58;200;980;1440;3,8;19;99;1,1;1,1;2;-
Lyoner, ;Fleisch- und Wurstwaren/Brühwurstware;;pro 100g ;1010;244;21,8;8,2;10,2;1,6;46;0,5;0,5;0;0;11,5;2,1;0;62,9;0;0;0;-;-;0,24;0,12;0,16;0,7;2,6;-;0,5;39,7;1;0;170;850;1160;6,5;11;180;0,5;-;1,3;6,1
Madeleine, ;Süssigkeiten/Sonstige süsse Backwaren;;pro 100g ;1460;346;11,6;6,3;2,9;1;99;52,2;22,3;29,6;1,4;7,5;0,3;0;27,7;124;120;116;45;38;0,07;0,09;0,04;0,25;0,31;7,9;0,43;0,1;0,6;0,29;130;130;220;38;9,6;81;0,6;7,5;0,6;-
Magermilchpulver, ;Milch und Milchprodukte/Milch;;pro 100g ;1480;348;1;0,6;0,2;0;3;50,5;50,5;0;0;34,3;1,4;0;3,5;9;7;5;21;21;0,34;2,2;0,28;2,2;1,1;21;3,5;2;0;0,01;1580;560;1000;1290;110;1020;0,8;36;4,1;12
Magermilch, UHT, ;Milch und Milchprodukte/Milch;1;pro 100 ml;139;33;0,1;0,1;0;0;0;4,7;4,7;0;0;3,3;0,1;0;90,8;2;2;2;1;1;0,02;0,16;0,03;0,1;0,1;5;0,28;0,6;0;0;160;39;96;130;11;97;0;3,1;0,4;-
Mailänderli, ;Süssigkeiten/Guetzli;;pro 100g ;1810;431;20,8;11,6;5,1;1,5;128;53,1;22,5;30,4;1,4;7,1;0,1;0;18;225;218;210;88;74;0,08;0,06;0,08;0,29;0,34;9;0,43;0;0,7;0,58;98;46;88;18;16;95;1;3,7;0,8;-
Mais-Chips (Apérogebäck), ;Salzige Snacks/Chips;;pro 100g ;2130;509;27,2;6,6;11,4;8,1;0;56;2,4;53,6;4,4;7,8;2,4;0;2;0;0;0;0;0;0,15;0,2;0,17;0;1,8;18;0,3;0;0;5,9;190;970;0;67;43;130;1,9;0;0;-
Mais, gedämpft (ohne Zugabe von Salz), Zuckermais,Gemüsemais;Gemüse/Gemüse gekocht (inkl. Konserven);;pro 100g ;444;105;1,4;0,2;0,3;0,6;0;17,8;3,9;14;3,2;3,7;0;0;73,9;21;11;0;128;48;0,14;0,12;0,21;0;1,55;29,3;0,86;10,2;0;0,11;280;0,3;7,9;2,4;28;90;0,4;3,6;0,6;-
Maisgriess, gekocht, Polenta;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mais;;pro 100g ;336;79;0,2;0;0,1;0,1;0;16,7;0,3;16,3;1,1;2;0,6;0;80;6;3;0;35;20;0,01;0,01;0,02;0;0,27;1,1;0,06;0;0;0,12;18;230;340;7,3;5,4;17;0,2;0,7;0,1;-
Maisgriess, trocken, Polenta;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mais;;pro 100g ;1480;350;1,1;0,1;0,4;0,4;0;73,8;1,5;72;5;8,8;0;0;11;26;13;0;156;88;0,05;0,04;0,1;0;1,2;5;0,26;0;0;0,52;80;1;15;4;20;73;1;2,5;0,4;-
Maiskeimöl, ;Fette und Öle/Öle;0,9;pro 100 ml;3330;810;90;11;24,8;49,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30,6;0;0;0;0;0;0;0;0;0;-
Maiskölbchen, in Essig eingelegt, ;Gemüse/Gemüse gekocht (inkl. Konserven);;pro 100g ;500;119;1,4;0,2;0,4;0,6;0;21;2;19;4,2;3,4;0;0;69,3;20;10;0;117;117;0,22;0,07;0,1;0;1,7;50;0,7;7;0;0,7;250;17;0;3;33;100;0,6;0;0;-
Mais, roh, Zuckermais,Gemüsemais;Gemüse/Gemüse frisch;;pro 100g ;391;93;1,2;0,2;0,3;0,5;0;15,7;3,4;12,3;2,8;3,3;0;0;74,7;19;9;0;113;47;0,15;0,12;0,22;0;1,7;43;0,89;12;0;0,1;290;0,3;7,3;2,2;27;83;0,4;3,3;0,6;-
Maisstärke, ;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke,Verschiedenes/Gelier- und Bindemittel;;pro 100g ;1510;354;0;0;0;0;0;88;0;88;0,6;0,3;0;0;11;32;16;0;190;104;0;0;0;0;0;1;0;0;0;0;5;6;6;1;2;22;0,5;2,5;0,6;-
Mandarine, roh, ;Früchte/Früchte frisch;;pro 100g ;201;47;0,2;0;0;0;0;10;10;0;1,4;0,7;0;0;86,9;26;13;0;158;148;0,1;0,03;0,05;0;0,34;17,6;0,19;36,7;0;0,55;150;3;4;33;11;15;0,4;0,8;0,1;-
Mandel, ;Nüsse, Samen und Ölfrüchte;;pro 100g ;2450;593;49,9;3,8;31,6;13,3;1;4;3,9;4;13;25,5;0;0;11,7;0;0;0;0;0;0,19;0,44;0,15;0;2,1;48;0,46;0;0;29,61;760;1,3;40;270;240;510;4,8;2;6;-
Mandel, geröstet, gesalzen, ;Salzige Snacks/Gesalzene Nüsse, Samen, Kerne;;pro 100g ;2680;649;55,2;4,2;34,8;13,5;0;7,2;4,6;0,6;10,5;25,6;0,8;0;2,8;0;0;0;1;1;0,09;0,78;0,12;0;3,67;27;0,23;0;0;25,97;670;330;1190;240;270;470;3,3;2,4;3,1;-
Mandel, ohne Fett geröstet, gesalzen, ;Salzige Snacks/Gesalzene Nüsse, Samen, Kerne;;pro 100g ;2620;634;52,1;4;32,4;13;0;10,3;4,9;0,7;10,9;25,4;0,8;0;2,5;0;0;0;0;0;0,07;0,86;0,13;0;3,9;33;0,23;0;0;27,45;750;340;1190;270;290;490;4,5;2,4;3,5;-
Mangold, gedämpft (ohne Zugabe von Salz), Krautstiel;Gemüse/Gemüse gekocht (inkl. Konserven);;pro 100g ;128;30;0,3;0;0;0;0;3,6;0,7;2,9;1,3;2,8;0,5;0;92,1;636;318;0;3816;3434;0,07;0,15;0,09;0;0,42;17,4;0,2;25,3;0;0,04;420;190;130;100;96;54;2,4;1,3;0,4;-
Mangold, roh, Krautstiel;Gemüse/Gemüse frisch;;pro 100g ;97;23;0,2;0;0;0;0;2,7;0,5;2,2;1;2,1;0,4;0;92,4;483;242;0;2900;2900;0,07;0,13;0,08;0;0,4;22;0,18;35;0;0,03;380;170;100;80;81;43;2,3;1;0,3;-
Mango, roh, ;Früchte/Früchte frisch;;pro 100g ;264;62;0,2;0,1;0,1;0;0;13,4;13,1;0,3;2,3;0,6;0;0;83;160;80;0;959;943;0,02;0,05;0,07;0;0,35;31;0,16;44;0;1,8;150;2;5;20;9;22;1,2;1;0,1;-
Margarine, ;Fette und Öle/Fette;0,9;pro 100g ;2980;724;80;22,3;37,3;14;0;0.5;0;0.5;0;0.5;0,2;0;20;860;830;800;360;360;0,01;0,03;0;0,1;0,21;2;0,08;0;5;20;42;67;100;10;1,8;23;0,1;1,5;0;-
Marmorkuchen, Marmorcake;Süssigkeiten/Kuchen, Torten und Cake;;pro 100g ;1490;357;17,2;9,4;4,3;1,3;131;42,6;19,7;22,7;1,3;7,3;0,2;0;32;182;176;170;69;57;0,07;0,12;0,07;0,31;0,31;10,1;0,53;0;0,8;0,41;140;60;110;45;19;110;1;8,9;0,8;-
Marzipan, ;Süssigkeiten/Sonstige Süssigkeiten;;pro 100g ;1990;474;17,6;1,5;12;3,3;0;68,6;68,6;0;4,9;8;0;0;1,9;13;13;12;6;-;0,07;0,2;0,05;0;1,36;31;0,19;0,3;0;8,49;270;2;14;82;72;150;1,5;0,7;0,9;-
Mascarpone, ;Milch und Milchprodukte/Frischkäse und Quark;;pro 100g ;1810;440;47;29,2;15,2;1,6;141;0;0;0;0;4,3;0,2;0;44,4;353;332;310;258;220;0,01;0,26;0,04;0,21;0,1;11;0,41;0;0,5;1;53;86;0;68;0;97;0,2;29;0,4;-
Mayonnaise, ;Fette und Öle/Mayonnaisen;0,9;pro 100g ;3050;742;81,7;12,1;23,3;42,5;150;0,5;0,5;0;0;1,1;1;0;14,7;9;9;9;0;0;0,02;0,05;0,1;0,5;0,03;10;0,5;0;0,5;43,7;25;410;500;15;7;46;0,6;6;0,2;-
Mayonnaise, kalorienvermindert, ;Fette und Öle/Mayonnaisen;1;pro 100g ;1350;327;34,5;4,6;6,7;19,6;131;3,3;0;0;0;0,9;0,7;0;59,4;0;0;0;0;0;0,05;0,16;0,06;0,6;0,12;26;0,71;4,6;0,6;16,57;88;280;470;66;12;140;1;5,3;0,6;-
Mayonnaise, selbst zubereitet mit Rapsöl, ;Fette und Öle/Mayonnaisen;;pro 100g ;3260;792;86,9;7,3;50,9;22,7;161;0,2;0,2;0;0;2,4;0,4;0;10,5;94;91;88;40;33;0,03;0,07;0,05;0,69;0,01;20,8;0,65;0,7;0,7;28,11;17;150;250;20;2,9;76;0,8;1,8;0,6;-
Mehl (Durchschnitt), ;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke;;pro 100g ;1450;343;1,4;0,3;0,2;0,8;0;67,8;0,4;66,8;4,7;12,4;0;0;14,8;0;0;0;0;0;0,25;0,05;0,19;0;1,26;19,8;0,56;0;0;0,42;200;3,6;44;14;45;150;1,9;1,1;1,4;-
Mehl, hell (Durchschnitt), ;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke;;pro 100g ;1460;344;1,3;0,3;0,2;0,7;0;68,9;0,4;67,9;3,8;12,2;0;0;14,9;0;0;0;0;0;0,21;0,04;0,16;0;0,79;16;0,48;0;0;0,29;180;2,1;45;11;33;120;1,5;0,9;1,1;-
Mehlomeletten mit Champignonfüllung, zubereitet, ;Gerichte/Sonstige salzige/rezente Gerichte;;pro 100g ;524;125;6,2;3,1;1,6;0,6;78;10,9;1,3;9,2;1,5;5,7;0,6;0;76,4;74;70;66;44;39;0,08;0,29;0,07;0,22;2,08;19,6;1,37;2,1;1,5;0,19;260;220;380;35;11;110;0,9;16;0,6;-
Mehlomeletten mit Gemüsefüllung, zubereitet, ;Gerichte/Sonstige salzige/rezente Gerichte;;pro 100g ;575;137;5,2;1,8;2;0,7;102;16,2;2,6;13,4;1,4;5,7;0,6;0;71,7;218;132;47;1026;767;0,07;0,11;0,1;0,3;0,36;23,1;0,56;20,3;0,6;0,41;150;230;360;44;10;82;0,7;10;0,6;-
Mehlomeletten mit Käse, zubereitet, ;Gerichte/Sonstige salzige/rezente Gerichte;;pro 100g ;817;195;9;4,4;2,4;0,9;139;18,2;1,3;16,8;0,8;9,9;0,9;0;62,3;99;96;93;34;28;0,06;0,16;0,05;0,55;0,22;15,9;0,69;0,1;0,9;0,19;120;360;550;150;13;160;0,7;13;1,1;-
Mehlomeletten mit Nutella, zubereitet, ;Gerichte/Sonstige süsse Gerichte;;pro 100g ;1080;258;12,4;4,7;5,1;1,5;108;29;14,4;14,4;1,4;7,1;0,6;0;50,5;51;50;50;9;6;0,07;0,15;0,06;0,37;0,26;14,8;0,65;0,2;0,7;1,54;170;250;400;71;19;120;0,8;10;0,8;-
Mehlomeletten mit Schinken, zubereitet, ;Gerichte/Sonstige salzige/rezente Gerichte;;pro 100g ;659;157;5,2;2,1;1,6;0,7;127;17,3;1,4;15,8;0,8;9,7;1;0;67,2;66;61;56;64;60;0,13;0,14;0,08;0,36;1,03;15,6;0,69;10,5;0,7;0,2;170;410;620;48;12;140;0,7;11;0,9;-
Mehlomeletten mit Speck, zubereitet, ;Gerichte/Sonstige salzige/rezente Gerichte;;pro 100g ;810;193;9,5;3,7;3,6;1,1;128;17,3;1,3;15,8;0,8;9,3;1,1;0;63,3;67;61;56;64;60;0,13;0,14;0,06;0,36;0,75;15,8;0,68;5;0,8;0,22;150;430;700;47;11;110;0,7;11;0,9;-
Mehlomeletten mit Zimt und Zucker, zubereitet, ;Gerichte/Sonstige süsse Gerichte;;pro 100g ;747;177;5,5;2,2;1,6;0,8;136;24,5;6,5;17,9;0,8;7,1;0,8;0;62,3;64;63;62;11;7;0,06;0,13;0,04;0,41;0,2;15,8;0,67;0,1;0,8;0,17;120;300;470;50;8,9;98;0,7;12;0,6;-
Mehlomeletten, zubereitet, ;Gerichte/Sonstige salzige/rezente Gerichte;;pro 100g ;695;165;5,8;2,3;1,7;0,8;143;20,4;1,4;18,8;0,9;7,5;0,8;0;65,7;67;67;66;11;7;0,07;0,13;0,04;0,43;0,21;16,7;0,7;0,1;0,9;0,18;120;320;500;51;9,3;100;0,7;12;0,7;-
Melasse, Melassesirup, ;Süssigkeiten/Konfitüren und süsse Brotaufstriche;1,4;pro 100g ;1160;274;0;0;0;0;0;67,2;67,2;0;0;1,2;0,2;0;25,4;0;0;0;0;0;0,08;0,1;0;0;0;0;0;0;0;0;1470;96;820;500;140;31;9,2;0;0,9;-
Meringue, ;Süssigkeiten/Sonstige Süssigkeiten;;pro 100g ;1700;401;0.5;0;0;0;0;94;94;0;0;5;0,3;0;1;0;0;0;0;0;0;0,25;0;0;0,1;0;0,2;0;0;0;90;100;0;4;5;22;0,2;0;0;-
Miesmuschel, roh, ;Fisch/Meeresfrüchte, Krusten- und Schalentiere;;pro 100g ;357;85;2,7;0,5;0,6;0,6;108;3,4;0;0;0;11,7;0,7;0;82,1;84;84;84;0;0;0,12;0,16;0,08;8;1,6;37;0,29;0;0;1,11;320;290;460;88;36;240;5,8;130;1,6;-
Milch (Durchschnitt), ;Milch und Milchprodukte/Milch;1;pro 100 ml;259;62;3,4;2;0,8;0,2;13;4,6;4,6;0;0;3,2;0,1;0;88,7;40;39;38;16;16;0,02;0,2;0,03;0,21;0,11;4,6;0,34;0,8;0,1;0,1;160;39;96;120;10;92;0;9,5;0,4;-
Milchkaffee dunkel, ungezuckert, Schale;Milch und Milchprodukte/Milch- und Joghurtgetränke,Alkoholfreie Getränke/Kaffee;1;pro 100 ml;65;16;0,9;0,5;0,2;0;3;1,2;1;0;0,1;0,7;0;0;97,1;10;10;9;4;4;0;0,05;0,01;0,03;0,13;0,9;0,08;0,2;0;0,03;54;9,2;21;32;4,8;21;0;2,1;0,1;-
Milchkaffee hell, ungezuckert, Schale;Milch und Milchprodukte/Milch- und Joghurtgetränke,Alkoholfreie Getränke/Kaffee;1;pro 100 ml;90;22;1,2;0,8;0,3;0,1;5;1,6;1,4;0;0,1;1;0;0;96,1;14;14;13;5;6;0,01;0,07;0,01;0,05;0,13;1,3;0,11;0,3;0;0,04;65;13;30;42;5,4;29;0;3;0,1;-
Milchkaffee, ungezuckert, Schale;Milch und Milchprodukte/Milch- und Joghurtgetränke,Alkoholfreie Getränke/Kaffee;1;pro 100 ml;81;19;1,1;0,7;0,3;0,1;4;1,4;1,3;0;0,1;0,9;0;0;96,5;13;12;12;5;5;0,01;0,06;0,01;0,04;0,13;1,2;0,1;0,3;0;0,04;61;11;26;38;5,1;26;0;2,6;0,1;-
Milchreis, zubereitet (mit teilentrahmter Milch, ohne Zugabe von Zucker), ;Süssigkeiten/Cremen und Pudding;;pro 100g ;558;132;3,5;2,1;0,8;0,2;14;19,7;5,6;14,1;0,2;5,3;0,2;0;71,2;41;40;39;17;17;0,03;0,22;0,04;0,17;0,43;6;0,45;0,4;0,1;0,11;200;85;180;150;17;130;0,1;13;0,6;-
Milchreis, zubereitet (mit Vollmilch, ohne Zugabe von Zucker), ;Süssigkeiten/Cremen und Pudding;;pro 100g ;614;146;5,1;3,1;1,2;0,3;19;19,7;5,6;14,1;0,2;5,2;0,2;0;69,7;57;55;53;22;23;0,03;0,26;0,04;0,18;0,43;6;0,44;0,9;0,1;0,17;200;85;180;150;17;130;0,1;12;0,6;-
Milchschokolade, ;Süssigkeiten/Schokolade und Kakaoerzeugnisse;;pro 100g ;2240;537;31,1;19,3;10,4;1,2;12;56,9;55,2;0,6;1,9;6,5;0,5;0;1,3;65;62;59;36;36;0,09;0,4;0,04;0;0,4;7;0,19;2,8;0;0,25;640;190;130;250;55;240;2,1;17;1,6;-
Milchschokolade mit Alkoholfüllung, ;Süssigkeiten/Schokolade und Kakaoerzeugnisse;;pro 100g ;2040;488;23,1;13,6;6,9;1,1;10;59;58,3;0,8;2,9;5,6;0,1;2,2;7,6;33;32;30;19;19;0,05;0,24;0,04;0,22;0,35;8,8;0,49;1,5;0,2;0,21;340;56;120;160;50;160;1,3;4,1;1;-
Milchschokolade mit Crèmefüllung (Gianduja, Nougat), ;Süssigkeiten/Schokolade und Kakaoerzeugnisse;;pro 100g ;2370;570;38,1;18,5;14,5;2,9;11;47;46,3;0,9;3,6;7,9;0,1;0;4,2;33;32;31;16;16;0,08;0,25;0,09;0,19;0,52;13,9;0,53;1,3;0,1;5,03;370;49;110;170;71;190;1,5;4,3;1,4;-
Milchschokolade mit Mandel-Honig-Nougat, ;Süssigkeiten/Schokolade und Kakaoerzeugnisse;;pro 100g ;2230;535;31,5;18,2;9,7;1,6;15;54,7;54,3;0,5;1,9;7,3;0,2;0;4,9;50;48;46;26;26;0,07;0,35;0,07;0,34;0,35;11,5;0,68;2,3;0,2;0,84;380;86;190;250;45;210;0,9;6,3;1,1;-
Milchschokolade mit Nüssen, ;Süssigkeiten/Schokolade und Kakaoerzeugnisse;;pro 100g ;2360;568;38,2;16,7;16,9;2,4;11;45,5;44,7;0,6;3,2;8,8;0,2;0;4,9;38;36;35;20;20;0,11;0,3;0,14;0,29;0,5;15,9;0,78;2,1;0,2;5,38;440;73;160;230;63;220;1,3;6,5;1,4;-
Milchschokolade mit Weinbeeren, Nüssen und Mandeln, ;Süssigkeiten/Schokolade und Kakaoerzeugnisse;;pro 100g ;2120;508;28,7;14,5;11;1,7;10;51,6;50,6;1,1;4,8;8,3;0,2;0;7,4;36;34;33;21;21;0,09;0,29;0,09;0,23;0,59;14,3;0,61;1,8;0,2;3,09;520;62;130;210;76;230;2;5,1;1,5;-
Minestrone, ;Gerichte/Eintöpfe und Suppen;1,1;pro 100g ;221;53;1,8;0,7;0,7;0,2;1;7;2,6;4,3;0,4;2;1;0;87,6;143;72;1;850;850;0,02;0,02;0,04;0;0,79;7;0,1;1;0;0;110;390;300;14;5;20;0,3;-;-;-
Minipic Würstchen, ;Fleisch- und Wurstwaren/Rohwurstware;;pro 100g ;1900;460;39,1;15,4;18,7;3,8;97;0,8;0,8;0;0;26,1;4,5;0;26,4;0;0;0;-;-;0,28;0,16;0,22;1,8;7,2;-;0,9;3,9;1,6;0;390;1780;2540;0;28;330;3;-;3,9;13
Mirabelle, gedünstet, abgetropft (ohne Zugabe von Zucker), ;Früchte/Früchte gekocht (inkl. Konserven);;pro 100g ;278;66;0,2;0;0;0;0;13,8;13,8;0;2,6;0,8;0;0;82,5;49;24;0;291;116;0,04;0,04;0,04;0;0,44;4,8;0,18;3,1;0;0,57;180;0;3,4;12;16;34;0,5;1,1;0,1;-
Mirabelle, roh, ;Früchte/Früchte frisch;;pro 100g ;242;57;0,2;0;0;0;0;12;12;0;2,3;0,7;0;0;82,7;42;21;0;254;180;0,06;0,04;0,05;0;0,5;10;0,2;7;0;0,5;230;0;3;12;15;33;0,5;1;0,1;-
Molke, süss, Süssmolke;Milch und Milchprodukte/Milch- und Joghurtgetränke;1;pro 100 ml;102;24;0,2;0,1;0,1;0;1;4,7;4,7;0;0;0,8;0,1;0;93,6;3;3;3;0;0;0,04;0,14;0,04;0,2;0,2;1;0,4;1;0;0;130;45;67;68;8;40;0,1;8;0,1;-
Morchel, gedünstet (ohne Zugabe von Fett und Salz), ;Gemüse/Pilze;;pro 100g ;145;35;0,4;0,1;0;0,2;0;0,6;0,1;0;8,5;3;0;0;88,3;0;0;0;0;0;0,12;0,06;0,05;0;4,88;18,3;2,5;4,5;3,8;0,22;370;2,1;9,3;13;16;190;1,2;12;0,5;-
Morchel, roh, ;Gemüse/Pilze;;pro 100g ;119;29;0,3;0,1;0;0,2;0;0,5;0,1;0;7;2,5;0;0;90;0;0;0;0;0;0,13;0,06;0,05;0;5;25;2,5;5;3,1;0,19;390;2;8;11;16;160;1,2;10;0,5;-
Mortadella, ;Fleisch- und Wurstwaren/Brühwurstware;;pro 100g ;1300;314;27,3;10,2;12,4;2,8;75;0,8;0,9;0;0;16,1;2,1;0;55,7;5;5;5;0;0;0,37;0,12;0,2;1,08;3,05;3,1;0,49;25,5;0;0,42;100;840;1240;3,9;13;170;0,9;1,5;1,3;-
Mostbröckli, ;Fleisch- und Wurstwaren/Rohwurstware;;pro 100g ;633;150;1,9;0,9;0,9;0,2;69;0,5;0,5;0;0;32,6;4,7;0;58,4;2;2;2;0;0;0,1;0,17;0,37;1,4;7,1;0;0,9;11,6;0;0;580;1860;2870;0;33;300;3,3;0;5,9;14
Mozzarella, ;Milch und Milchprodukte/Weichkäse,Milch und Milchprodukte/Frischkäse und Quark;;pro 100g ;1060;256;19,5;11,4;6;0,7;46;0,7;0,7;0;0;19,5;0,4;0;58,8;205;194;183;130;130;0,03;0,27;0,07;1,4;0,4;16;0,14;0;0,3;0,39;8;140;810;340;10;350;0,1;4,8;2,6;-
Mürbeteig (mit Butter), süss, ungebacken, ;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teige;;pro 100g ;1770;424;22,9;13;5,5;1,6;115;45,8;10,5;34,9;1,6;7,8;0,7;0;22,4;237;229;221;97;95;0,12;0,06;0,1;0,18;0,41;16,7;0,53;0;0,7;0,64;110;280;430;16;19;94;1;4,7;0,8;-
Mürbeteig (mit pflanzlichem Fett), süss, ungebacken, ;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teige;;pro 100g ;1750;419;22,4;6,2;10,1;4,2;58;45,8;10,4;35;1,6;7,8;0,7;0;23;238;230;223;93;92;0,12;0,06;0,1;0,2;0,46;17,2;0,55;0;1,6;5,29;120;290;450;15;19;94;1;21;0,8;-
Mütschli, ;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;;pro 100g ;1080;255;0,8;0,2;0,1;0,5;0;51,8;0,7;50,8;2,5;8,7;1,7;0;36,8;0;0;0;0;0;0,11;0,04;0,06;0;0,67;15,4;0,23;0;0;0,14;140;690;1080;7,8;14;60;0,6;0,9;0,5;-
Nasi Goreng, zubereitet, ;Gerichte/Asiatische Gerichte;;pro 100g ;541;128;2;0,4;1,2;0,3;24;16,2;0,8;14,2;0,5;11,1;1,3;0;70,2;48;25;2;274;236;0,08;0,07;0,13;0,05;3,51;3;0,34;10,4;0,3;0,4;150;510;730;18;15;110;0,3;1,4;0,7;19
Nektarine, roh, ;Früchte/Früchte frisch;;pro 100g ;214;51;0,2;0;0;0;0;10,2;10,2;0;2,2;0,9;0;0;86;44;22;0;264;204;0,02;0,03;0,02;0;0,74;3,3;0,18;10,3;0;0,5;210;4;5;7;10;18;0,2;1;0,1;-
Nussgipfel aus Blätterteig, ;Süssigkeiten/Sonstige süsse Backwaren;;pro 100g ;1740;417;26,9;10,1;12,7;2,2;68;35,6;16,1;19,4;2,7;6,8;0,5;0;28,7;173;167;161;72;61;0,1;0,03;0,14;0,12;0,46;11,6;0,4;0,4;0,4;5,6;190;210;340;43;40;110;1,3;2;1;-
Nussgipfel aus Hefeteig, ;Süssigkeiten/Sonstige süsse Backwaren;;pro 100g ;1330;316;12,6;3,6;7,3;1,6;39;41,5;18,5;24,4;2,8;7,7;0,7;0;36,1;59;57;56;23;18;0,19;0,13;0,14;0,13;1,1;33,5;0,44;0,3;0,2;3,99;210;280;440;52;34;120;1,1;2,6;1;-
Nüsslisalat, roh, Feldsalat,Rapunzelsalat;Gemüse/Gemüse frisch;;pro 100g ;96;23;0,4;0,1;0;0,2;0;2;2;0;1,7;2;0;0;92,8;660;330;0;3958;3958;0,09;0,09;0,15;0;0,4;81,4;0,12;24,3;0;0,3;460;4;70;38;13;53;2,1;35;0,5;-
Nussschnecke aus Hefeteig, Hefeschnecke;Süssigkeiten/Sonstige süsse Backwaren;;pro 100g ;1860;443;18,7;5,7;9,6;1,9;62;54,4;13,1;40,7;3,8;12,2;1,2;0;11,9;98;95;92;38;33;0,3;0,19;0,21;0,2;1,71;52,9;0,69;0,5;0,4;4,6;300;470;750;69;42;170;1,6;4,1;1,2;2,2
Ofen-Frites, tiefgekühlt, Ofen-Pommes;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Kartoffeln;;pro 100g ;535;127;5;0,4;3,6;0,7;0;18,1;0,9;17,2;1,4;1,8;0;0;73,7;1;1;0;6;5;0,17;0,02;0,42;0;0,48;28,6;0,35;12,9;0;1,55;320;8,6;59;5,2;15;34;0,3;2,9;0,2;-
Olive, gefüllt mit Hackfleisch, frittiert, ;Salzige Snacks/Sonstige salzige Snacks;;pro 100g ;1340;321;14;2,8;8,4;1,8;55;32,8;2,1;30,6;3,3;13,6;1,7;0,4;36,4;124;77;29;571;425;0,14;0,11;0,13;0,42;1,04;19,7;0,56;3,1;0,6;1,3;180;700;440;120;23;140;1,4;7;1,5;-
Olive, grün, ;Nüsse, Samen und Ölfrüchte;;pro 100g ;516;126;12,5;1,8;8,7;1,4;0;0;0;0;4;1,3;4;0;77;47;23;0;280;280;0,02;0,08;0,02;0;0,5;6;0,02;0;0;1,99;52;1610;0;36;20;14;1,2;0;0;-
Olivenöl, ;Fette und Öle/Öle;0,9;pro 100 ml;3330;810;90;10,7;67,7;6,7;0;0;0;0;0;0;0;0;0;13;7;0;79;79;0;0;0;0;0;0;0;0;0;27,84;0,9;0,9;90;0;0,9;1,8;0,1;0,1;0;-
Olive, schwarz, ;Nüsse, Samen und Ölfrüchte;;pro 100g ;627;152;14;1,4;8,1;1,6;0;3;-;0;4,3;1,4;8,2;0;72,4;7;3;0;40;40;0;0;0,02;0;0;11;0,02;0;0;1,99;40;3290;0;61;22;24;1,5;0;0;-
Orangennektar, ;Alkoholfreie Getränke/Süssgetränke,Alkoholfreie Getränke/Frucht- und Gemüsesäfte;1;pro 100 ml;185;44;0;0;0;0;0;10,5;10,5;0;0,1;0,4;0;0;88,2;7;3;0;40;40;0,04;0,01;0,02;0;0,14;12;0,08;12;0;0,1;110;1;3;6;7;10;0,1;2;0,1;-
Orangensaft, ;Früchte/Fruchtsäfte,Alkoholfreie Getränke/Frucht- und Gemüsesäfte;1;pro 100 ml;216;51;0.5;0;0;0;0;11,1;11,1;0;0,1;0,5;0;0;86,6;8;4;0;47;13;0,08;0,03;0,05;0;0,26;20;0,18;31;0;0,19;180;1;4;11;11;16;0,2;2,1;0,1;-
